id,scientific_name,japanese_name,family_id
369,Catillaria,,119
370,Cenangium,,120
371,Chlorencoelia,,120
372,Encoelia,,120
373,Heyderia,,120
374,Mitrula,,120
375,Trochila,,120
376,Cephaloascus,,121
377,Albertiniella,,122
378,Phialemonium,,122
379,Ceratobasidium,,123
380,Ceratorhiza,,123
381,Rhizoctonia,,123
382,Thanatephorus,,123
383,Ambrosiella,,124
384,Berkeleyomyces,,124
385,Catunica,,124
386,Ceratocystis,,124
387,Endoconidiophora,,124
388,Grosmannia,,124
389,Ophiostoma,,124
390,Thielavia,,124
391,Toshionella,,124
392,Autoicomyces,,125
393,Ceratosphaeria,,126
394,Acrospeira,,127
395,Arxiomyces,,127
396,Harzia,,127
397,Melanospora,,127
398,Microthecium,,127
399,Papulaspora,,127
400,Pteridiosperma,,127
401,Sphaerodes,,127
402,Cerinomyces,,128
403,Cerrena,,129
404,Pseudospongipellis,,129
405,Raduliporus,,129
406,Aplopsora,,130
407,Ceraceopsora,,130
408,Maravalia,,130
409,Chaetomella,,131
410,Discohainesia,,131
411,Pilidium,,131
412,Sclerotiopsis,,131
413,Sphaerographium,,131
414,Achaetomiella,,132
415,Achaetomium,,132
416,Acrophialophora,,132
417,Amesia,,132
418,Arcopilus,,132
419,Arxotrichum,,132
420,Botryotrichum,,132
421,Chaetomidium,,132
422,Chaetomium,,132
423,Collariella,,132
424,Dichotomopilus,,132
425,Humicola,,132
426,Ovatospora,,132
427,Parachaetomium,,132
428,Pseudohumicola,,132
429,Pseudothielavia,,132
430,Retroconis,,132
431,Staphylotrichum,,132
432,Stellatospora,,132
433,Thermothelomyces,,132
434,Thermothielavioides,,132
435,Trichocladium,,132
436,Xanthiomyces,,132
437,Chaetosphaerella,,133
438,Diplosporium,,133
439,Arcuatospora,,134
440,Chaetosphaeria,,134
441,Chloridium,,134
442,Codinaeella,,134
443,Conicomyces,,134
444,Cryptophiale,,134
445,Cylindrotrichum,,134
446,Dendrophoma,,134
447,Dictyochaeta,,134
448,Dictyochaetopsis,,134
449,Ellisembia,,134
450,Exserticlava,,134
451,Menisporopsis,,134
452,Miyoshiella,,134
453,Multiguttulispora,,134
454,Neopseudolachnella,,134
455,Paragaeumannomyces,,134
456,Phialosporostilbe,,134
457,Pseudodinemasporium,,134
458,Pseudolachnea,,134
459,Pseudolachnella,,134
460,Sporoschisma,,134
461,Tainosphaeria,,134
462,Thozetella,,134
463,Ballistosporomyces,,135
464,Cystobasidiopsis,,135
465,Kurtzmanomyces,,135
466,Mycogloea,,135
467,Chlorociboria,,136
468,Chlorosplenium,,137
469,Choanephora,,138
470,Gilbertella,,138
471,Poitrasia,,138
472,Chorioactis,,139
473,Desmazierella,,139
474,Phaeosolenia,,140
475,Chrysothrix,,141
476,Galbinothrix,,141
477,Melarthonis,,141
478,Bannozyma,,142
479,Chrysozyma,,142
480,Fellozyma,,142
481,Oberwinklerozyma,,142
482,Sampaiozyma,,142
483,Slooffia,,142
484,Spencerozyma,,142
485,Yunzhangia,,142
486,Algochytrops,,143
487,Zygorhizidium,,143
488,Chytriomyces,,144
489,Pendulichytrium,,144
490,Rhizoclosmatium,,144
491,Cladochytrium,,145
492,Cladia,,146
493,Cladonia,,146
494,Gymnoderma,,146
495,Pilophorus,,146
496,Thysanothecium,,146
