id,scientific_name,japanese_name,shape_id
644,Teratosphaeriaceae,,51
645,Tetraplosphaeriaceae,,51
646,Thelebolaceae,,52
647,Thelephoraceae,,54
648,Thelocarpaceae,,51
649,Thyridariaceae,,51
650,Thyridiaceae,,51
651,Tilachlidiaceae,,51
652,Tilletiaceae,,51
653,Tilletiariaceae,,51
654,Togniniaceae,,51
655,Torpedosporaceae,,51
656,Torulaceae,,51
657,Tranzscheliaceae,,51
658,Trapeliaceae,,51
659,Trematosphaeriaceae,,51
660,Tremellaceae,シロキクラゲ科,53
661,Tremellodendropsidaceae,,53
662,Trichocomaceae,,51
663,Tricholomataceae,キシメジ科,49
664,Trichomeriaceae,,51
665,Trichomonascaceae,,51
666,Trichosphaeriaceae,,51
667,Trichosporonaceae,,51
668,Trichothyriaceae,,51
669,Tricladiaceae,,52
670,Trigonopsidaceae,,51
671,Trimorphomycetaceae,,53
672,Tritirachiaceae,,51
673,Trypetheliaceae,,51
674,Tubakiaceae,,51
675,Tubariaceae,,49
676,Tuberaceae,,57
677,Tubeufiaceae,,51
678,Tulasnellaceae,,56
679,Tympanidaceae,,52
680,Typhulaceae,,56
681,Tzeananiaceae,,51
682,Umbelopsidaceae,,51
683,Umbilicariaceae,,51
684,Unilacrymaceae,,53
685,Urocystidaceae,,51
686,Uropyxidaceae,,51
687,Ustilaginaceae,,51
688,Vahliellaceae,,51
689,Valsaceae,,51
690,Valsariaceae,,51
691,Vamsapriyaceae,,51
692,Varicellariaceae,,51
693,Venturiaceae,,51
694,Verrucariaceae,,51
695,Vibrisseaceae,,52
696,Vuilleminiaceae,,51
697,Wallemiaceae,,51
698,Wickerhamomycetaceae,,51
699,Wiesneriomycetaceae,,51
700,Wynneaceae,,52
701,Xenasmataceae,,49
702,Xylariaceae,,51
703,Xylographaceae,,51
704,Zaghouaniaceae,,51
705,Zoopagaceae,,51
706,Zygophlyctidaceae,,51
