taxon_key,species_key,scientific_name,source,name
2520096,2520096,Coltriciella pusilla (Imazeki & Kobayasi) Corner,db,ヒメオツネンタケ
2520096,2520096,Coltriciella pusilla (Imazeki & Kobayasi) Corner,gbif,ヒメオツネンタケ
2520097,2520096,Coltricia pusilla J.R.Sharma & J.E.Wright,db,ヒメオツネンタケ
2520097,2520096,Coltricia pusilla J.R.Sharma & J.E.Wright,gbif,ヒメオツネンタケ
2520148,2520148,Phellinus chrysoloma (Fr.) Donk,db,カラマツカタハタケ
2520162,2520162,Phellinus pusillus (Lloyd) Ryvarden,db,ヒメスズメタケ
2520291,7624816,Phellinus conchatus (Pers.) Quél.,gbif,エゾヒヅメタケ
2520292,7624816,Fomes densus Lloyd,gbif,エゾヒヅメタケ
2520302,7624816,Fomes conchatus (Pers.) Gillet,gbif,エゾヒヅメタケ
2520331,2520330,Fomes caryophylli (Racib.) Bres.,db,クロガネタケ
2520331,2520330,Fomes caryophylli (Racib.) Bres.,gbif,クロガネタケ
2520368,2520368,Phellinus prunicola (Murrill) Gilb.,db,チャサクラアナタケ
2520426,2520432,Phellinus wahlbergii (Fr.) D.A.Reid,gbif,ツリバリサルノコシカケ
2520428,2520432,Phellinus hamatus (Corner) Imazeki,gbif,ツリバリサルノコシカケ
2520432,2520432,Fuscoporia wahlbergii (Fr.) T.Wagner & M.Fisch.,gbif,ツリバリサルノコシカケ
2520433,2520432,Fomes hamatus (Corner) Imazeki,gbif,ツリバリサルノコシカケ
2520445,2520459,Phellinus robustus (P.Karst.) Bourdot & Galzin,gbif,カシサルノコシカケ
2520451,2520459,Fomes rhaponticus Lloyd,gbif,カシサルノコシカケ
2520453,2520459,Fomes robustus P.Karst.,gbif,カシサルノコシカケ
2520459,2520459,Fomitiporia robusta (P.Karst.) Fiasson & Niemelä,gbif,カシサルノコシカケ
2520462,2520459,"Fomes yasudai Lloyd, 1915",gbif,カシサルノコシカケ
2520471,2520459,Ochroporus robustus (P.Karst.) J.Schröt. ex Donk,gbif,カシサルノコシカケ
2520484,2520484,Phellinus laevigatus (P.Karst.) Bourdot & Galzin,db,カバノニセホクチタケ
2520484,2520484,Phellinus laevigatus (P.Karst.) Bourdot & Galzin,gbif,カバノニセホクチタケ
2520519,2520519,Phellinus gilvus (Schwein.) Pat.,db,ネンドタケ
2520543,2520519,Fuscoporia gilva (Schwein.) T.Wagner & M.Fisch.,db,ネンドタケ
2520592,2520519,Phellinus illiciicola (Henn.) Teng,db,ネンドタケ
2520705,2520705,Phellinus fastuosus (Lév.) S.Ahmad,db,センダンサルノコシカケ
2520710,2520705,Fomes fastuosus (Lév.) Cooke,db,センダンサルノコシカケ
2520747,2520747,Phellinus setulosus (Lloyd) Imazeki,db,コブサルノコシカケモドキ
2520747,2520747,Phellinus setulosus (Lloyd) Imazeki,gbif,コブサルノコシカケモドキ
2520748,2520747,Fomes elaphinus Bres.,db,コブサルノコシカケモドキ
2520748,2520747,Fomes elaphinus Bres.,gbif,コブサルノコシカケモドキ
2520749,2520747,Fomes setulosus Lloyd,db,コブサルノコシカケモドキ
2520749,2520747,Fomes setulosus Lloyd,gbif,コブサルノコシカケモドキ
2520757,2520757,Phellinus hartigii (Allesch. & Schnabl) Pat.,db,ツガアナタケ
2520758,2520757,Fomitiporia hartigii (Allesch. & Schnabl) Fiasson & Niemelä,db,ツガアナタケ
2520759,2520757,Fomes hartigii (Allesch. & Schnabl) Bres.,db,ツガアナタケ
2520790,9035469,Phellinus yamanoi (Imazeki) Parmasto,gbif,マツノカタハタケ
2520839,2520839,Phellinus adamantinus (Berk.) Ryvarden,db,ムサシタケ
2520842,2520839,Fomes glaucotus (Cooke) Cooke,db,ムサシタケ
2520846,2520839,Pyrrhoderma adamantinum (Berk.) Imazeki,db,ムサシタケ
2520862,2520862,Phellinus igniarius (L.) Quél.,db,キコブアナタケ
2520862,2520862,Phellinus igniarius (L.) Quél.,gbif,キコブタケ
2520863,2520862,Phellinus nigricans (Fr.) P.Karst.,db,キコブアナタケ
2520863,2520862,Phellinus nigricans (Fr.) P.Karst.,gbif,キコブタケ
2520873,2520862,"Fomes nigricans (Fr.) Gillet, 1878",db,キコブアナタケ
2520873,2520862,"Fomes nigricans (Fr.) Gillet, 1878",gbif,キコブタケ
2520886,2520862,"Fomes igniarius (L.) Cooke, 1885",db,キコブアナタケ
2520886,2520862,"Fomes igniarius (L.) Cooke, 1885",gbif,キコブタケ
2520889,2520862,Ochroporus igniarius (L.) J.Schröt.,db,キコブアナタケ
2520889,2520862,Ochroporus igniarius (L.) J.Schröt.,gbif,キコブタケ
2520915,8173622,Fomes rimosus (Berk.) Cooke,db,オオメシマコブ
2520940,2520946,Cyclomyces fuscus Kunze ex Fr.,gbif,ワヒダタケ
2520946,2520946,Hymenochaete cyclolamellata T.Wagner & M.Fisch.,gbif,ワヒダタケ
2521008,2521008,Inonotus boninensis T.Hatt. & Ryvarden,db,オガサワラサビアナタケ
2521089,2521089,Inonotus obliquus (Fr.) Pilát,db,カバアナタケ
2521089,2521089,Inonotus obliquus (Fr.) Pilát,gbif,カバノアナタケ
2521090,2521089,Fuscoporia obliqua (Fr.) Aoshima,db,カバアナタケ
2521090,2521089,Fuscoporia obliqua (Fr.) Aoshima,gbif,カバノアナタケ
2521178,2521178,Inonotus patouillardii (Rick) Imazeki,db,ナンバンオオカワウソタケ
2521178,2521178,Inonotus patouillardii (Rick) Imazeki,gbif,ナンバンオオカワウソタケ
2521208,2521208,Inonotus hispidus (Bull.) P.Karst.,db,ヤケコゲタケ
2521208,2521208,Inonotus hispidus (Bull.) P.Karst.,gbif,ヤケコゲタケ
2521242,10866930,Inonotus tabacinus (Mont.) G.Cunn.,gbif,キヌハダタケ
2521243,10866930,Cyclomyces tabacinus (Mont.) Pat.,gbif,キヌハダタケ
2521251,8044342,Pelloporus triqueter (P.Karst.) Krieglst.,db,エゾノカワラタケ
2521251,8044342,Pelloporus triqueter (P.Karst.) Krieglst.,gbif,エゾノカワラタケ
2521251,8044342,Pelloporus triqueter (P.Karst.) Krieglst.,gbif,トウヒカワラタケ
2521273,2521276,Inonotus ludovicianus (Pat.) Bondartsev & Singer,gbif,オニカワウソタケ
2521276,2521276,Inocutis ludoviciana (Pat.) T.Wagner & M.Fisch.,gbif,オニカワウソタケ
2521358,10701592,Pyrrhoderma scaurum (Lloyd) Ryvarden,gbif,サジタケ
2521360,2521360,Pyrrhoderma sendaiense (Yasuda) Imazeki,db,ツヤナシマンネンタケ
2521387,2521387,Clavariadelphus ligula (Schaeff.) Donk,db,コスリコギタケ
2521387,2521387,Clavariadelphus ligula (Schaeff.) Donk,gbif,コスリコギタケ
2521391,2521391,Clavariadelphus pistillaris (L.) Donk,db,スリコギタケ
2521391,2521391,Clavariadelphus pistillaris (L.) Donk,gbif,スリコギタケ
2521401,2521401,Clavariadelphus truncatus Donk,db,スリコギタケモドキ
2521401,2521401,Clavariadelphus truncatus Donk,gbif,スリコギタケモドキ
2521476,2521476,Hydnocristella himantia (Schwein.) R.H.Petersen,gbif,ウスチャサガリハリタケ
2521479,2521476,Oxydontia himantia (Schwein.) L.W.Mill.,gbif,ウスチャサガリハリタケ
2522009,2522009,Turbinellus floccosus (Schwein.) Earle ex Giachini & Castellano,gbif,ウスタケ
2522031,2522031,Gautieria morchelliformis Vittad.,db,アミメシマショウロ
2522031,2522031,Gautieria morchelliformis Vittad.,gbif,アミメシマショウロ
2522091,2522091,Sebacina incrustans (Pers.) Tul. & C.Tul.,db,ロウタケ
2522091,2522091,Sebacina incrustans (Pers.) Tul. & C.Tul.,gbif,ロウタケ
2522137,2522137,Phellodon melaleucus (Sw. ex Fr.) P.Karst.,db,クサハリタケ
2522137,2522137,Phellodon melaleucus (Sw. ex Fr.) P.Karst.,gbif,クサハリタケ
2522137,2522137,Phellodon melaleucus (Sw. ex Fr.) P.Karst.,gbif,クリハリタケ
2522137,2522137,Phellodon melaleucus (Sw. ex Fr.) P.Karst.,gbif,チャボハリタケ
2522140,2522137,Hydnum pygmaeum Yasuda,db,クサハリタケ
2522140,2522137,Hydnum pygmaeum Yasuda,gbif,クサハリタケ
2522140,2522137,Hydnum pygmaeum Yasuda,gbif,クリハリタケ
2522140,2522137,Hydnum pygmaeum Yasuda,gbif,チャボハリタケ
2522141,2522137,Hydnum graveolens (Pers.) Fr.,db,クサハリタケ
2522141,2522137,Hydnum graveolens (Pers.) Fr.,gbif,クサハリタケ
2522141,2522137,Hydnum graveolens (Pers.) Fr.,gbif,クリハリタケ
2522141,2522137,Hydnum graveolens (Pers.) Fr.,gbif,チャボハリタケ
2522143,2522137,Hydnum melaleucum Sw. ex Fr.,db,クサハリタケ
2522143,2522137,Hydnum melaleucum Sw. ex Fr.,gbif,クサハリタケ
